leadid,subject,firstname,lastname,jobtitle,companyname,emailaddress1,telephone1,leadsourcecode,revenue,leadqualitycode,cr487_organizationtype,createdon,modifiedon,industrycode,numberofemployees,action_sequence,activities,last_action_date,statuscode,days_in_pipeline,days_since_last_action
LEAD-0011,Lead from InnovateLabs,David,Williams,IT Director,HealthInc,sarah.garcia@company.com,+1-555-5669,3,496341,2,profit,10/14/2025 10:09,11/19/2025 14:09,15,5000,"['download_email_received','send_introduction_email','send_followup_email','send_second_followup_email','license_expired_issue_inbound_email','send_extended_trial_license_email','license_enquiry_inbound_email','configuration_call','send_pricing_details_email','trial_extension_request_inbound_email','send_invoice_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,7,21,20,11,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,7,22,10,7,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,7,23,11,40,0)},{'type':'send_second_followup_email','timestamp':datetime.datetime(2025,7,31,7,30,0)},{'type':'license_expired_issue_inbound_email','timestamp':datetime.datetime(2025,10,22,15,0,0)},{'type':'send_extended_trial_license_email','timestamp':datetime.datetime(2025,10,22,11,38,0)},{'type':'license_enquiry_inbound_email','timestamp':datetime.datetime(2025,10,22,15,23,0)},{'type':'configuration_call','timestamp':datetime.datetime(2025,10,24,9,0,0)},{'type':'send_pricing_details_email','timestamp':datetime.datetime(2025,10,24,10,51,0)},{'type':'trial_extension_request_inbound_email','timestamp':datetime.datetime(2025,10,30,14,58,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,26,14,16,0)}]",11/26/2025 14:16,1,57,21
LEAD-0012,Lead from ManuFact,Alex,Davis,Operations Manager,TechCorp,jane.miller@company.com,+1-555-5533,1,477317,1,nonprofit,11/01/2025 10:09,11/20/2025 14:09,1,500,"['download_email_received','send_introduction_email','query_inbound_email','send_query_response_email','discount_request_inbound_email','send_budget_request_email','send_actual_usage_and_price_request_email','send_crm_user_count_request_email','send_followup_email','user_count_inbound_email','send_discount_pricing_and_order_form_email','payment_link_request_inbound_email','send_signed_order_form_request_email','signed_order_form_inbound_email','send_invoice_and_payment_link_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,10,13,16,25,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,10,13,18,29,0)},{'type':'query_inbound_email','timestamp':datetime.datetime(2025,10,14,15,13,0)},{'type':'send_query_response_email','timestamp':datetime.datetime(2025,10,14,18,6,0)},{'type':'discount_request_inbound_email','timestamp':datetime.datetime(2025,10,14,18,8,0)},{'type':'send_budget_request_email','timestamp':datetime.datetime(2025,10,14,18,14,0)},{'type':'send_actual_usage_and_price_request_email','timestamp':datetime.datetime(2025,10,31,15,0,0)},{'type':'send_crm_user_count_request_email','timestamp':datetime.datetime(2025,10,31,16,42,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,11,20,17,54,0)},{'type':'user_count_inbound_email','timestamp':datetime.datetime(2025,11,20,17,55,0)},{'type':'send_discount_pricing_and_order_form_email','timestamp':datetime.datetime(2025,11,21,12,45,0)},{'type':'payment_link_request_inbound_email','timestamp':datetime.datetime(2025,11,21,14,9,0)},{'type':'send_signed_order_form_request_email','timestamp':datetime.datetime(2025,11,21,14,24,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,24,14,43,0)},{'type':'send_invoice_and_payment_link_email','timestamp':datetime.datetime(2025,11,24,18,21,0)}]",11/24/2025 18:21,1,39,20
LEAD-0013,Lead from ConsultGroup,Sarah,Brown,CTO,ConsultGroup,alex.miller@company.com,+1-555-3532,4,337340,1,profit,11/12/2025 10:09,11/30/2025 11:09,6,50,"['download_email_received','send_introduction_email','query_inbound_email','send_query_response_email','discount_request_inbound_email','send_budget_request_email','send_actual_usage_and_price_request_email','send_crm_user_count_request_email','send_followup_email','user_count_inbound_email','send_discount_pricing_and_order_form_email','payment_link_request_inbound_email','send_signed_order_form_request_email','signed_order_form_inbound_email','send_invoice_and_payment_link_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,10,13,16,25,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,10,13,18,29,0)},{'type':'query_inbound_email','timestamp':datetime.datetime(2025,10,14,15,13,0)},{'type':'send_query_response_email','timestamp':datetime.datetime(2025,10,14,18,6,0)},{'type':'discount_request_inbound_email','timestamp':datetime.datetime(2025,10,14,18,8,0)},{'type':'send_budget_request_email','timestamp':datetime.datetime(2025,10,14,18,14,0)},{'type':'send_actual_usage_and_price_request_email','timestamp':datetime.datetime(2025,10,31,15,0,0)},{'type':'send_crm_user_count_request_email','timestamp':datetime.datetime(2025,10,31,16,42,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,11,20,17,54,0)},{'type':'user_count_inbound_email','timestamp':datetime.datetime(2025,11,20,17,55,0)},{'type':'send_discount_pricing_and_order_form_email','timestamp':datetime.datetime(2025,11,21,12,45,0)},{'type':'payment_link_request_inbound_email','timestamp':datetime.datetime(2025,11,21,14,9,0)},{'type':'send_signed_order_form_request_email','timestamp':datetime.datetime(2025,11,21,14,24,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,24,14,43,0)},{'type':'send_invoice_and_payment_link_email','timestamp':datetime.datetime(2025,11,24,18,21,0)}]",11/24/2025 18:21,1,28,10
LEAD-0014,Lead from RetailHub,John,Brown,Director of Operations,ConsultGroup,david.johnson@company.com,+1-555-5573,6,212995,1,nonprofit,10/25/2025 10:09,11/10/2025 14:09,17,1000,"['download_email_received','send_introduction_email','query_inbound_email','send_query_response_email','discount_request_inbound_email','send_budget_request_email','send_actual_usage_and_price_request_email','send_crm_user_count_request_email','send_followup_email','user_count_inbound_email','send_discount_pricing_and_order_form_email','payment_link_request_inbound_email','send_signed_order_form_request_email','signed_order_form_inbound_email','send_invoice_and_payment_link_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,10,13,16,25,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,10,13,18,29,0)},{'type':'query_inbound_email','timestamp':datetime.datetime(2025,10,14,15,13,0)},{'type':'send_query_response_email','timestamp':datetime.datetime(2025,10,14,18,6,0)},{'type':'discount_request_inbound_email','timestamp':datetime.datetime(2025,10,14,18,8,0)},{'type':'send_budget_request_email','timestamp':datetime.datetime(2025,10,14,18,14,0)},{'type':'send_actual_usage_and_price_request_email','timestamp':datetime.datetime(2025,10,31,15,0,0)},{'type':'send_crm_user_count_request_email','timestamp':datetime.datetime(2025,10,31,16,42,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,11,20,17,54,0)},{'type':'user_count_inbound_email','timestamp':datetime.datetime(2025,11,20,17,55,0)},{'type':'send_discount_pricing_and_order_form_email','timestamp':datetime.datetime(2025,11,21,12,45,0)},{'type':'payment_link_request_inbound_email','timestamp':datetime.datetime(2025,11,21,14,9,0)},{'type':'send_signed_order_form_request_email','timestamp':datetime.datetime(2025,11,21,14,24,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,24,14,43,0)},{'type':'send_invoice_and_payment_link_email','timestamp':datetime.datetime(2025,11,24,18,21,0)}]",11/24/2025 18:21,1,46,30
LEAD-0015,Lead from GlobalTrade,Sarah,Jones,CEO,DataSystems,john.rodriguez@company.com,+1-555-9821,4,373617,1,profit,10/17/2025 10:09,11/05/2025 17:09,12,1000,"['download_email_received','send_introduction_email','send_followup_email','send_second_followup_email','license_expired_issue_inbound_email','send_extended_trial_license_email','license_enquiry_inbound_email','configuration_call','send_pricing_details_email','trial_extension_request_inbound_email','send_invoice_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,7,21,20,11,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,7,22,10,7,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,7,23,11,40,0)},{'type':'send_second_followup_email','timestamp':datetime.datetime(2025,7,31,7,30,0)},{'type':'license_expired_issue_inbound_email','timestamp':datetime.datetime(2025,10,22,15,0,0)},{'type':'send_extended_trial_license_email','timestamp':datetime.datetime(2025,10,22,11,38,0)},{'type':'license_enquiry_inbound_email','timestamp':datetime.datetime(2025,10,22,15,23,0)},{'type':'configuration_call','timestamp':datetime.datetime(2025,10,24,9,0,0)},{'type':'send_pricing_details_email','timestamp':datetime.datetime(2025,10,24,10,51,0)},{'type':'trial_extension_request_inbound_email','timestamp':datetime.datetime(2025,10,30,14,58,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,26,14,16,0)}]",11/26/2025 14:16,1,54,35
LEAD-0016,Lead from DataSystems,Alex,Smith,Operations Manager,ManuFact,sarah.miller@company.com,+1-555-6279,8,373119,2,nonprofit,11/16/2025 10:09,01/07/2026 15:09,15,2500,"['send_introduction_email','license_pricing_enquiry_inbound_email','send_license_pricing_details_email','pricing_concern_inbound_email','send_followup_on_pricing_concern_email','signed_order_form_inbound_email','send_invoice_email']","[{'type':'send_introduction_email','timestamp':datetime.datetime(2025,11,5,4,33,0)},{'type':'license_pricing_enquiry_inbound_email','timestamp':datetime.datetime(2025,11,5,0,0,0)},{'type':'send_license_pricing_details_email','timestamp':datetime.datetime(2025,11,5,9,14,0)},{'type':'pricing_concern_inbound_email','timestamp':datetime.datetime(2025,11,5,21,45,0)},{'type':'send_followup_on_pricing_concern_email','timestamp':datetime.datetime(2025,11,6,15,4,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,22,0,26,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,24,12,35,0)}]",11/24/2025 12:35,1,24,-28
LEAD-0017,Lead from GlobalTrade,Jane,Davis,Director of Operations,GlobalTrade,sarah.miller@company.com,+1-555-9099,7,468002,1,profit,11/07/2025 10:09,11/21/2025 18:09,8,50,"['download_email_received','send_introduction_email','send_followup_email','send_second_followup_email','license_expired_issue_inbound_email','send_extended_trial_license_email','license_enquiry_inbound_email','configuration_call','send_pricing_details_email','trial_extension_request_inbound_email','send_invoice_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,7,21,20,11,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,7,22,10,7,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,7,23,11,40,0)},{'type':'send_second_followup_email','timestamp':datetime.datetime(2025,7,31,7,30,0)},{'type':'license_expired_issue_inbound_email','timestamp':datetime.datetime(2025,10,22,15,0,0)},{'type':'send_extended_trial_license_email','timestamp':datetime.datetime(2025,10,22,11,38,0)},{'type':'license_enquiry_inbound_email','timestamp':datetime.datetime(2025,10,22,15,23,0)},{'type':'configuration_call','timestamp':datetime.datetime(2025,10,24,9,0,0)},{'type':'send_pricing_details_email','timestamp':datetime.datetime(2025,10,24,10,51,0)},{'type':'trial_extension_request_inbound_email','timestamp':datetime.datetime(2025,10,30,14,58,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,26,14,16,0)}]",11/26/2025 14:16,1,33,19
LEAD-0018,Lead from GlobalTrade,Alex,Miller,VP Marketing,CloudServices,mike.davis@company.com,+1-555-8373,5,255882,1,nonprofit,11/20/2025 10:09,12/13/2025 18:09,8,250,"['send_introduction_email','license_pricing_enquiry_inbound_email','send_license_pricing_details_email','pricing_concern_inbound_email','send_followup_on_pricing_concern_email','signed_order_form_inbound_email','send_invoice_email']","[{'type':'send_introduction_email','timestamp':datetime.datetime(2025,11,5,4,33,0)},{'type':'license_pricing_enquiry_inbound_email','timestamp':datetime.datetime(2025,11,5,0,0,0)},{'type':'send_license_pricing_details_email','timestamp':datetime.datetime(2025,11,5,9,14,0)},{'type':'pricing_concern_inbound_email','timestamp':datetime.datetime(2025,11,5,21,45,0)},{'type':'send_followup_on_pricing_concern_email','timestamp':datetime.datetime(2025,11,6,15,4,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,22,0,26,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,11,24,12,35,0)}]",11/24/2025 12:35,1,20,-3
LEAD-0019,Lead from FinancePlus,Sarah,Johnson,Director of Operations,DataSystems,lisa.rodriguez@company.com,+1-555-8633,7,454068,2,profit,10/18/2025 10:09,11/13/2025 17:09,2,100,"['download_email_received','send_introduction_email','license_extension_request_inbound_email','send_license_extension_steps_email','user_count_and_pricing_inbound_email','send_pricing_clarification_email','tool_issue_inbound_email','send_followup_for_clarification_email','issue_screenshot_inbound_email','send_latest_solution_and_tool_email','support_call_request_inbound_email','support_call','send_invoice_email']","[{'type':'download_email_received','timestamp':datetime.datetime(2025,11,19,12,19,0)},{'type':'send_introduction_email','timestamp':datetime.datetime(2025,11,19,8,30,0)},{'type':'license_extension_request_inbound_email','timestamp':datetime.datetime(2025,11,19,13,3,0)},{'type':'send_license_extension_steps_email','timestamp':datetime.datetime(2025,11,19,9,48,0)},{'type':'user_count_and_pricing_inbound_email','timestamp':datetime.datetime(2025,11,20,23,9,0)},{'type':'send_pricing_clarification_email','timestamp':datetime.datetime(2025,11,21,10,55,0)},{'type':'tool_issue_inbound_email','timestamp':datetime.datetime(2025,11,22,20,50,0)},{'type':'send_followup_for_clarification_email','timestamp':datetime.datetime(2025,11,24,12,14,0)},{'type':'issue_screenshot_inbound_email','timestamp':datetime.datetime(2025,11,24,14,1,0)},{'type':'send_latest_solution_and_tool_email','timestamp':datetime.datetime(2025,11,24,19,1,0)},{'type':'support_call_request_inbound_email','timestamp':datetime.datetime(2025,11,24,18,49,0)},{'type':'support_call','timestamp':datetime.datetime(2025,11,25,17,30,0)},{'type':'send_invoice_email','timestamp':datetime.datetime(2025,12,12,17,8,0)}]",12/12/2025 17:08,1,53,27
LEAD-0020,Lead from DataSystems,Mike,Davis,VP Sales,GlobalTrade,alex.smith@company.com,+1-555-7455,10,404198,2,nonprofit,10/25/2025 10:09,12/09/2025 16:09,19,10,"['license_activation_request_inbound_email','send_pricing_and_order_form_email','send_followup_email','still_reviewing_inbound_email','send_acknowledgement_email','use_case_and_query_inbound_email','send_query_answer_email','signed_order_form_inbound_email','send_acknowledgement_and_invoice_email']","[{'type':'license_activation_request_inbound_email','timestamp':datetime.datetime(2025,11,17,16,18,0)},{'type':'send_pricing_and_order_form_email','timestamp':datetime.datetime(2025,11,18,10,54,0)},{'type':'send_followup_email','timestamp':datetime.datetime(2025,11,19,13,59,0)},{'type':'still_reviewing_inbound_email','timestamp':datetime.datetime(2025,11,20,19,13,0)},{'type':'send_acknowledgement_email','timestamp':datetime.datetime(2025,11,21,1,9,0)},{'type':'use_case_and_query_inbound_email','timestamp':datetime.datetime(2025,11,25,17,23,0)},{'type':'send_query_answer_email','timestamp':datetime.datetime(2025,11,25,17,23,0)},{'type':'signed_order_form_inbound_email','timestamp':datetime.datetime(2025,11,28,15,33,0)},{'type':'send_acknowledgement_and_invoice_email','timestamp':datetime.datetime(2025,11,28,16,7,0)}]",11/28/2025 16:07,1,46,1
